image_id,class_id,class_name,nuclear_fragmentation_index,cell_shrinkage_ratio,membrane_blebbing_score,chromatin_condensation_proxy,cell_swelling_index,membrane_permeability_proxy,mean_intensity,total_intensity,intensity_variance,area_covered_ratio,cell_count,density_cells_per_10k_px,cell_area_mean,cell_area_std,cell_area_median,small_cell_fraction,medium_cell_fraction,large_cell_fraction,plate_id
img_2_184,2,late_apoptosis,0.27087198515769945,0.3432282003710575,0.0,1112.5274062630865,2.1176470588235294,49.29804533982167,34.531429290771484,9052207.0,1112.6944620287832,0.2908668518066406,1617.0,61.68365478515625,47.154605865478516,73.13866424560547,30.0,0.7179962894248608,0.2659245516388373,0.016079158936301793,230
img_1_133,1,early_apoptosis,0.10665914221218961,0.2601580135440181,0.0,1413.8708245912776,1.3846153846153846,61.37443949215636,45.176639556884766,11842785.0,1414.0959385121093,0.2058563232421875,1772.0,67.596435546875,30.453723907470703,80.2893295288086,20.0,0.9130925507900677,0.08126410835214447,0.0056433408577878106,122
img_3_206,3,necrosis,0.11327231121281464,0.2477116704805492,0.0,1495.4955038894443,1.2321428571428572,38.10300561075202,44.9778938293457,11790685.0,1495.497516230549,0.20394515991210938,1748.0,66.680908203125,30.58523941040039,87.69428253173828,20.0,0.9061784897025171,0.08981693363844394,0.004004576659038902,334
img_3_1,3,necrosis,0.12170499158721257,0.2905215928210881,0.0,1216.4157158503594,1.4285714285714286,40.66933891533404,44.729248046875,11725504.0,1216.6162990927696,0.20752334594726562,1783.0,68.01605224609375,30.510936737060547,70.41215515136719,21.0,0.894559730790802,0.10207515423443635,0.0033651149747616375,300
img_1_7,1,early_apoptosis,0.10095344924284913,0.26023555804823334,0.0,985.58601878854,1.3076923076923077,68.45027701978185,40.96043014526367,10737531.0,985.8238546062348,0.19609832763671875,1783.0,68.01605224609375,28.8311824798584,59.952293395996094,20.0,0.9248457655636567,0.06954570947840717,0.005608524957936063,101
img_2_38,2,late_apoptosis,0.10114285714285715,0.2542857142857143,0.0,993.9699899982213,1.3846153846153846,45.93132058152944,41.72174835205078,10937106.0,994.1809225780307,0.19614410400390625,1750.0,66.7572021484375,29.3817138671875,46.673805236816406,20.0,0.9097142857142857,0.07942857142857143,0.010857142857142857,206
img_1_85,1,early_apoptosis,0.3383458646616541,0.3717627401837928,0.0,1595.8082158940476,2.9473684210526314,49.91456499301478,37.6952018737793,9881571.0,1595.75166063277,0.30377197265625,1197.0,45.66192626953125,66.52631378173828,120.71012115478516,39.0,0.606516290726817,0.3567251461988304,0.036758563074352546,114
img_0_15,0,viable,0.2887459807073955,0.35434083601286176,0.0,1347.288876566188,2.375,45.221367166578,36.77564239501953,9640514.0,1347.2890954277827,0.2863273620605469,1555.0,59.31854248046875,48.26945495605469,91.94104766845703,30.0,0.7131832797427653,0.2733118971061093,0.013504823151125401,2
img_1_74,1,early_apoptosis,0.3488562091503268,0.37663398692810457,0.0,1517.9799982025245,2.7,48.97776483945463,38.36989974975586,10058439.0,1517.968234752523,0.30706787109375,1224.0,46.69189453125,65.76470947265625,115.27192687988281,39.0,0.5980392156862745,0.3668300653594771,0.035130718954248366,112
img_3_8,3,necrosis,0.12117714945181765,0.2556260819388344,0.0,1326.7836745409395,1.4615384615384615,37.17168313505092,44.6618537902832,11707837.0,1326.974924871567,0.20315933227539062,1733.0,66.10870361328125,30.731101989746094,87.7987060546875,20.0,0.9024812463935372,0.09405654933641085,0.003462204270051933,301
img_0_222,0,viable,0.11904761904761904,0.23443223443223443,0.0,1861.297883106272,1.3571428571428572,78.69879474048972,46.770816802978516,12260689.0,1861.415137873482,0.21675491333007812,1638.0,62.4847412109375,34.68925476074219,111.90739440917969,20.0,0.9017094017094017,0.09096459096459096,0.007326007326007326,37
img_0_179,0,viable,0.26322263222632225,0.35854858548585483,0.0,1548.8872095774354,2.25,82.8921503571761,38.617271423339844,10123286.0,1548.8861116100452,0.2899627685546875,1626.0,62.0269775390625,46.74784851074219,94.1448745727539,29.0,0.7337023370233703,0.25461254612546125,0.011685116851168511,29
img_3_233,3,necrosis,0.11489607390300231,0.2586605080831409,0.0,1606.528912045494,1.4615384615384615,38.42371731473871,45.883201599121094,12028006.0,1606.5308146154857,0.20382308959960938,1732.0,66.070556640625,30.849308013916016,94.41899108886719,20.0,0.9191685912240185,0.07678983833718245,0.0040415704387990765,338
img_0_22,0,viable,0.11864406779661017,0.2674199623352166,0.0,1956.226278285478,1.4615384615384615,65.52854069968988,48.85721206665039,12807625.0,1956.227921695201,0.2117462158203125,1593.0,60.76812744140625,34.844947814941406,108.36801147460938,20.0,0.9033270558694287,0.08851224105461393,0.008160703075957313,3
img_1_106,1,early_apoptosis,0.1134020618556701,0.2508591065292096,0.0,1097.2510585755745,1.4615384615384615,57.91037310695059,41.59131622314453,10902914.0,1097.4056017770781,0.2013092041015625,1746.0,66.6046142578125,30.22451400756836,68.65750885009766,20.0,0.9037800687285223,0.09049255441008018,0.0057273768613974796,117
img_2_166,2,late_apoptosis,0.1100757134536983,0.24053581828771112,0.0,1523.3263748826719,1.2857142857142858,42.36208175534925,44.18031311035156,11581604.0,1523.4803045650478,0.21683883666992188,1717.0,65.49835205078125,33.10599899291992,80.3436508178711,20.0,0.8957483983692487,0.093185789167152,0.0110658124635993,227
img_3_111,3,necrosis,0.11812865497076024,0.2309941520467836,0.0,1380.6766701494098,1.3571428571428572,37.35416033461968,45.628421783447266,11961217.0,1380.8426463343055,0.20464324951171875,1710.0,65.2313232421875,31.371929168701172,90.35108947753906,20.0,0.8964912280701754,0.1,0.0035087719298245615,318
img_1_90,1,early_apoptosis,0.293640897755611,0.341645885286783,0.0,768.2543251669865,2.3529411764705883,47.757869187865666,33.832149505615234,8868895.0,768.2672478118766,0.2902793884277344,1604.0,61.187744140625,47.440773010253906,61.18877029418945,30.0,0.7032418952618454,0.27805486284289277,0.018703241895261846,115
